source,target,weight
Joe,Pip,640
Miss Havisham,Estella,632
Miss Havisham,Pip,488
Joe,Miss Havisham,397
Mr. Jaggers,Pip,395
Mr. Jaggers,Wemmick,344
Joe,Biddy,340
Pip,Wemmick,339
Joe,Mr. Pumblechook,328
Estella,Pip,271
Pip,Herbert,259
Miss Havisham,Herbert,246
Herbert,Handel,244
Biddy,Pip,233
Joe,Estella,226
Joe,Mr. Wopsle,221
Miss Havisham,Mr. Jaggers,192
Herbert,Provis,186
Mr. Pumblechook,Miss Havisham,185
Estella,Herbert,175
Wemmick,Herbert,170
Mr. Jaggers,Herbert,156
Mr. Pumblechook,Pip,137
Mr. Wopsle,Pip,133
Joe,Herbert,128
Herbert,Startop,128
Miss Havisham,Sarah Pocket,127
Biddy,Miss Havisham,126
Herbert,Clara,125
Joe,Orlick,123
Estella,Mr. Jaggers,104
Miss Havisham,Wemmick,102
Biddy,Estella,99
Joe,Uncle Pumblechook,97
Joe,Mr. Gargery,89
Mr. Wopsle,Mr. Pumblechook,89
Miss Havisham,Mr. Pocket,85
Joe,Mum,83
Joe,God,82
Herbert,Mrs. Pocket,81
Orlick,Pip,79
Mum,Mr. Pumblechook,77
God,Pip,76
Joe,Mr. Jaggers,75
Pip,Provis,73
Mr. Pumblechook,Estella,72
Joe,the Jolly Bargemen,72
Mr. Wopsle,Biddy,71
Estella,Sarah Pocket,71
Miss Havisham,Orlick,71
Mr. Gargery,Pip,70
Wemmick,Miss Skiffins,66
Biddy,Orlick,66
Handel,Provis,65
Uncle Pumblechook,Mr. Pumblechook,64
Mr. Wopsle,Herbert,63
Mr. Pocket,Pip,62
Biddy,Herbert,61
Mr. Wopsle,Miss Havisham,60
Wemmick,Provis,59
Sarah Pocket,Pip,59
Mr. Pocket,Herbert,57
Herbert,Compeyson,57
Wemmick,Drummle (#297),56
Wemmick,John,56
Estella,Wemmick,56
Mr. Jaggers,Provis,55
Herbert,Drummle,54
the Jolly Bargemen,Pip,53
Mrs. Pocket,Flopson,52
God,Miss Havisham,52
Herbert,Drummle (#297),52
Estella,Mr. Pocket,52
Biddy,Mr. Gargery,51
Mr. Wopsle,Estella,51
Joe,Tickler,51
Joe,Mr. Hubble,50
Herbert,Jack,50
Miss Havisham,Provis,50
Mrs. Pocket,Startop,50
Miss Havisham,Handel,49
Estella,Drummle,49
Miss Havisham,Drummle (#297),49
Trabb,Herbert,48
Herbert,Magwitch,48
Mr. Jaggers,Mike,47
Clara,Provis,47
Joe,Trabb,47
Camilla,Sarah Pocket,46
Joe,Mrs. Hubble,46
Mrs. Pocket,Millers,46
Mr. Pumblechook,Biddy,46
Handel,Clara,44
Sarah Pocket,Mr. Pocket,44
God,Estella,44
Drummle,Startop,44
Provis,Compeyson,43
O,Pip,43
Mr. Hubble,Mr. Pumblechook,43
Mr. Wopsle,Mr. Hubble,42
Magwitch,Compeyson,41
Estella,Drummle (#297),41
Pip,Trabb,41
Mr. Pocket,Mr. Jaggers,40
Provis,Magwitch,40
Herbert,Clarriker,40
Mr. Jaggers,Handel,39
Flopson,Millers,39
Joe,Sarah Pocket,39
Uncle Pumblechook,Miss Havisham,39
Pip,the Spider,39
Wemmick,Clara,38
Mr. Wopsle,the Jolly Bargemen,38
Herbert,Mrs. Whimple,37
John,Miss Skiffins,37
Mr. Pocket,Mrs. Pocket,37
Orlick,Herbert,37
Mr. Jaggers,Drummle (#297),37
Mum,Miss Havisham,37
Pip,Mrs. Pocket,37
Pip,John,37
Herbert,Flopson,37
Uncle Pumblechook,Pip,36
Pip,Clara,36
Estella,Handel,36
Miss Havisham,Camilla,36
Tom,Wemmick,35
Barnard,Herbert,35
Mrs. Pocket,Drummle,35
Mr. Jaggers,Magwitch,34
Herbert,Millers,34
Mrs. Hubble,Mr. Pumblechook,34
Sarah Pocket,Orlick,34
Estella,Orlick,34
Mr. Gargery,Herbert,33
Tickler,Pip,33
Mr. Wopsle,Mrs. Hubble,33
Pip,Drummle,33
Pip,Compeyson,33
Startop,Provis,32
Biddy,the Jolly Bargemen,32
Mr. Wopsle,Uncle Pumblechook,32
Herbert,Jane,32
O,Estella,32
Joe,Illustration,31
Georgiana,Pip,31
Mrs. Pocket,Jane,31
Mr. Wopsle,Orlick,31
Clara,old Bill Barley,31
Pip,Magwitch,30
Camilla,Cousin Raymond,30
Mr. Wopsle,Mr. Gargery,30
Mr. Pocket,Wemmick,30
Pip,Startop,29
Wemmick,Jack,29
Joe,Old Clem,29
Georgiana,Miss Havisham,29
Joe,the Hulks,29
Illustration,Pip,29
Sarah Pocket,Mr. Jaggers,29
Mr. Pumblechook,William,29
Pip,Drummle (#297),28
Joe,Mrs. J. Gargery,28
Estella,Provis,28
Mrs. Hubble,Pip,28
Startop,Drummle (#297),28
Cousin Raymond,Sarah Pocket,28
Mrs. Hubble,Biddy,28
Orlick,Trabb,28
Mr. Hubble,Uncle Pumblechook,28
Herbert,Mr. Waldengarver,28
Mrs. Pocket,Belinda,28
Herbert,old Bill Barley,28
Biddy,Trabb,27
Pip,Handel,27
Mum,Flopson,27
Mum,Mrs. Pocket,27
Mr. Pumblechook,Trabb,27
Mum,Herbert,27
Herbert,Miss Skiffins,27
Mr. Wopsle,Mr. Waldengarver,27
God,Biddy,27
Miss Havisham,Trabb,27
Joe,Mr. Pocket,27
Flopson,Drummle,27
Georgiana,Sarah Pocket,27
Clara,Mrs. Whimple,27
Estella,Camilla,26
Herbert,Estella (#423),26
Jane,Flopson,26
Miss Havisham,Estella (#423),26
Mr. Pumblechook,Sarah Pocket,26
O,Mr. Jaggers,26
Mr. Jaggers,Compeyson,26
Mr. Jaggers,Drummle,26
the Jolly Bargemen,Orlick,26
Pip,Jack,25
Joe,Joe (#184),25
Pip,Miss Skiffins,25
Estella,Mrs. Brandley,25
Camilla,Mr. Pocket,25
Trabb,Handel,25
Millers,Startop,25
Wemmick,Startop,25
Pip,Barnard,25
Wemmick,Compeyson,25
O,Miss Havisham,25
Drummle,the Finches,24
Clara,Chinks,24
Joe,Tar,24
Mr. Jaggers,Estella (#423),24
Joe,Mrs. Pocket,24
Miss Havisham,the Jolly Bargemen,24
Wemmick,Clarriker,24
Miss Havisham,Mrs. Camilla,24
Millers,Drummle,24
Mr. Jaggers,Startop,24
Handel,Mrs. Whimple,23
Joe,Georgiana,23
Joe (#184),Pip,23
Mr. Hubble,Pip,23
the Finches,Finch,23
Mr. Hubble,Mrs. Hubble,23
Miss Havisham,Mrs. Brandley,23
Uncle Pumblechook,Estella,23
Mr. Pumblechook,Orlick,23
Joe,Heaven,22
Joe,Startop,22
Mum,Pip,22
Mike,Wemmick,22
Flopson,Startop,22
Tom,Pip,22
Little Britain,Mr. Jaggers,22
Estella,the Finches,22
Startop,Jack,22
Mr. Jaggers,Jaggerth,22
Estella,Finch,22
Herbert,The Avenger,21
Herbert,Mr. Barley,21
Mum,Millers,21
Georgiana,Mr. Pocket,21
Wemmick,Magwitch,21
Mr. Pocket,Flopson,21
Miss Havisham,Startop,21
Wemmick,old Bill Barley,21
Estella,Clara,21
Biddy,Mr. Jaggers,21
God,Herbert,21
Joe,William,21
Biddy,Mr. Pocket,21
Joe,O,21
Mum,Estella,21
Mr. Jaggers,the Spider,20
Joe,Clara,20
Mr. Wopsle,Wemmick,20
Uncle Pumblechook,Mum,20
God,Mr. Jaggers,20
Biddy,Sarah Pocket,20
Jane,Drummle,20
Herbert,Chinks,20
Biddy,Heaven,20
Orlick,Provis,20
Miss Havisham,Mr. Gargery,20
Drummle,Drummle (#297),20
Startop,the Spider,20
Biddy,Clara,20
Miss Havisham,Mrs. Pocket,19
Richard,Tom,19
Miss Havisham,Miss Skiffins,19
Richard,Wemmick,19
Richard,Jack,19
Compeyson,Arthur,19
Pip,Mr. Waldengarver,19
Illustration,Orlick,19
Mr. Pocket,Belinda,19
Pip,Mike,19
Tom,Jack,19
Handel,Startop,19
Miss Havisham,Old Clem,19
Joe,Ceptin Wopsle,19
Orlick,Wolf,19
Old Clem,Pip,18
Miss Havisham,Cousin Raymond,18
Richard,Pip,18
Startop,Magwitch,18
Handel,old Gruffandgrim,18
Little Britain,Pip,18
Mr. Pumblechook,Boy,18
Mr. Jaggers,Trabb,18
Herbert,old Gruffandgrim,18
Joe,the Impostor,18
Biddy,Mrs. Pocket,18
Clara,old Gruffandgrim,18
Wemmick,Estella (#423),18
Mr. Gargery,Provis,18
Pip,Estella (#423),18
Mr. Jaggers,Hah,18
Herbert,Mrs. Coiler,17
Handel,Mr. Barley,17
Cousin Raymond,Mr. Pocket,17
O,Wemmick,17
Mrs. Hubble,Uncle Pumblechook,17
Mrs. Pocket,Drummle (#297),17
Richard,Herbert,17
Clara,Mr. Barley,17
Mrs. Pocket,Mrs. Coiler,17
Tom,Herbert,17
Mr. Jaggers,Miss Skiffins,17
Joe,Amen,16
Wemmick,old Briton,16
Joe,Partickler,16
Mr. Pocket,Startop,16
Sarah Pocket,Mistress Camilla,16
Mr. Wopsle,Mum,16
Provis,Chinks,16
Mr. Wopsle,Richard,16
Wemmick,Colonel,16
Provis,Mrs. Whimple,16
Wemmick,Hah,16
Wemmick,the Spider,16
Miss Havisham,Mother,16
Mr. Pocket,Junior,16
Pip,Flopson,16
Drummle,Finch,16
Mr. Jaggers,Molly,16
Miss Havisham,Boy,16
Estella,The Avenger,16
George Barnwell,Wemmick,16
Jane,Millers,16
Illustration,Biddy,16
Joe,Richard,16
Herbert,Old Barley,16
Mr. Gargery,Orlick,16
Joe,Pork,16
Clara,Old Barley,16
Joe,Collins,16
Joe,Howsever,16
Georgiana,Mrs. Camilla,16
Little Britain,Wemmick,16
Estella,Mr. Gargery,16
Mr. Pocket,Millers,16
Estella,Old Clem,16
Miss Havisham,Drummle,16
Mr. Pumblechook,Pork,16
Mr. Wopsle,Collins,16
Mr. Pocket,Barnard,16
Joe,Thereupon,16
the Hulks,Orlick,16
Herbert,Belinda,16
Mrs. Whimple,Old Barley,15
Joe,Flopson,15
Pip,Hah,15
Tom,Mr. Pocket,15
Flopson,Belinda,15
Joe,Drummle (#297),15
Georgiana,Herbert,15
Mr. Pumblechook,the Impostor,15
Joe,Magwitch,15
Mr. Pumblechook,Mrs. J. Gargery,15
Miss Skiffins,Clarriker,15
Mr. Pumblechook,God,15
Mum,Jane,15
Herbert,Finch,15
Joe,Provis,15
Drummle,Mrs. Coiler,15
old Bill Barley,Provis,15
Clara,Clarriker,15
Mr. Jaggers,old Bill Barley,15
Herbert,Mrs. Brandley,15
Illustration,Herbert,15
Mr. Pumblechook,the Jolly Bargemen,15
Mr. Jaggers,Colonel,15
Sarah Pocket,Herbert,15
Wemmick,Molly (#402),15
Mr. Wopsle,Pork,15
Mr. Pumblechook,Herbert,14
Mr. Pocket,Jane,14
Pip,Millers,14
the Hulks,Mr. Wopsle,14
Joe,The Avenger,14
old Bill Barley,Clarriker,14
Orlick,George Barnwell,14
Miss Havisham,Howsever,14
Mr. Wopsle,George Barnwell,14
Herbert,the Spider,14
Herbert,the Finches,14
Estella,the Jolly Bargemen,14
Millers,Mrs. Coiler,14
Mrs. Hubble,the Jolly Bargemen,14
Biddy,Old Clem,14
Estella,Mrs. Blandley,14
Mr. Pocket,Mrs. Camilla,14
Georgiana,Mistress Camilla,14
Provis,old Gruffandgrim,14
Mr. Pumblechook,Howsever,14
Joe,Compeyson,14
Mr. Wopsle,Mr. Jaggers,13
Drummle,the Spider,13
Tickler,Biddy,13
Drummle (#297),old Briton,13
Georgiana,Biddy,13
Startop,Mrs. Coiler,13
Mr. Pocket,Drummle,13
Mrs. Hubble,Mr. Gargery,13
Tar,Pip,13
Mrs. Camilla,Pip,13
Provis,Mr. Barley,13
Trabb,Startop,13
Joe,the Boar,13
Pip,Heaven,13
Old Barley,Chinks,13
Herbert,Amen,13
Joe,Millers,13
Belinda,Drummle,13
Pip,old Bill Barley,13
Herbert,Pooh,13
the Jolly Bargemen,Mr. Gargery,12
Mr. Jaggers,Habraham Latharuth,12
Miss Havisham,Pooh,12
Belinda,Startop,12
Little Britain,Herbert,12
George Barnwell,Pip,12
Pip,Colonel,12
Miss Havisham,George Barnwell,12
Estella,Mrs. Pocket,12
Pip,Mrs. Brandley,12
Herbert,XXVII,12
Mrs. Camilla,Mr. Jaggers,12
Wemmick,Mrs. Whimple,12
Wemmick,Handel,12
Boy,Pip,12
Joe,Drummle,12
Jaggerth,Habraham Latharuth,12
Miss Havisham,Compeyson,12
Joe,old Bill Barley,12
Mr. Pumblechook,Old Clem,12
One,Herbert,12
Pip,XXVII,12
Mrs. J. Gargery,Pip,12
Mrs. Whimple,Chinks,12
Georgiana,Estella,12
Pip,Belinda,12
Herbert,John,12
Pip,Clarriker,12
Miss Havisham,Clara,12
Biddy,old Bill Barley,12
Pip,Molly (#402),12
Mrs. Hubble,Trabb,12
Miss Havisham,Finch,11
Miss Havisham,the Finches,11
Miss Havisham,Ay,11
Mr. Pocket,Sophia,11
Mrs. J. Gargery,young Rantipole,11
Mr. Pumblechook,Collins,11
Herbert,Papa,11
Biddy,the Boar,11
Mr. Wopsle,Barnard,11
Mrs. Pocket,Sophia,11
Wemmick,Barnard,11
Mr. Pumblechook,young Rantipole,11
God,Wemmick,11
Belinda,Sophia,11
Trabb,Provis,11
O,Herbert,11
Georgiana,Camilla,11
Mr. Barley,Papa,11
Mum,Drummle,11
Tickler,Mrs. J. Gargery,11
Joe,Jane,11
Clara,Compeyson,11
Clara,Papa,11
Miss Havisham,Mrs. J. Gargery,11
Joe,young Rantipole,11
Mum,Biddy,10
Estella,Pooh,10
Mr. Wopsle,Clara,10
Joe,Miss A.,10
Provis,Old Barley,10
Mrs. Hubble,Pork,10
Handel,Old Barley,10
Joe,Barnard,10
Herbert,Ceptin Wopsle,10
Millers,Belinda,10
Halloa,Wemmick,10
Jane,Startop,10
Joe,Lord (#7147),10
Tar,Mr. Pumblechook,10
Old Clem,Orlick,10
Tickler,Lord (#7147),10
old Bill Barley,Compeyson,10
George Barnwell,John,10
old Bill Barley,Chinks,10
Georgiana,Mr. Pumblechook,10
Mr. Gargery,XXVII,10
Mr. Gargery,Barnard,10
Provis,Estella (#423),10
Pip,Miss A.,10
Provis,Wolf,10
Mrs. Whimple,old Gruffandgrim,10
Miss Havisham,Miss A.,10
Pip,Mrs. Blandley,10
Biddy,Startop,10
One,Wemmick,10
One,Miss Skiffins,10
Jaggerth,Wemmick,10
Orlick,Handel,10
Estella,Cousin Raymond,10
Wemmick,Mrs. Wemmick,9
old Bill Barley,Wolf,9
Jane,Belinda,9
Herbert,Lord,9
Estella,Compeyson,9
Pip,Dear Sir,9
Joe,Windy,9
Mr. Jaggers,Clara,9
Mr. Pocket,Mistress Camilla,9
Joe,the Carols,9
Drummle,Mrs. Blandley,9
Pip,Mrs. Wemmick,9
Mr. Jaggers,Mrs. Pocket,9
Little Britain,Clarriker,9
Miss Havisham,Dear Sir,9
Biddy,Wolf,9
Drummle (#297),the Spider,9
Miss Est,Pip,9
Mr. Pumblechook,George Barnwell,9
Orlick,old Bill Barley,9
Estella (#423),LI,9
Biddy,the Impostor,9
Mr. Pumblechook,the wicked Noah,9
One,John,9
Estella,Dear Sir,9
Mrs. Whimple,Mr. Barley,9
Herbert,Wolf,9
Herbert,Ay,9
Joe,Miss Est,9
Handel,Chinks,9
Handel,Papa,9
Joe,Boy,9
Herbert,LI,9
Molly,Startop,9
Joe,Wolf,9
Mr. Pumblechook,Windy,9
Mr. Pocket,Pa,8
Mrs. Camilla,Herbert,8
Orlick,Drummle,8
Chinks,Wolf,8
Clara,Wolf,8
Mrs. Camilla,Wemmick,8
Clara,Jack,8
Mrs. J. Gargery,Trabb,8
old Bill Barley,Mr. Barley,8
Clara,Mr. Campbell,8
Mrs. Whimple,Mr. Campbell,8
Old Barley,Mr. Campbell,8
Mrs. Camilla,Drummle (#297),8
Mrs. Camilla,Mrs. Pocket,8
Mr. Barley,Chinks,8
Mr. Barley,Old Barley,8
Compeyson,Mr. Barley,8
Jack,Magwitch,8
Provis,Arthur,8
Provis,Mr. Campbell,8
Mrs. Brandley,Provis,8
Halloa,Miss Skiffins,8
Hah,Compeyson,8
old Gruffandgrim,Mr. Barley,8
Millers,Pa,8
Orlick,Estella (#423),8
Wemmick,Mrs. Pocket,8
Herbert,Arthur,8
Herbert,Dear Sir,8
Herbert,Ophelia,8
Herbert,that expensive Mercenary,8
Mr. Jaggers,Molly (#402),8
Mr. Jaggers,Mother,8
Junior,Lord,8
Barnard,Junior,8
Wemmick,Mr. Barley,8
Wemmick,Pa,8
